"Index","global_return","inter_return"
1977-12-31,-0.0200169177,-0.0200169177
1978-12-31,0.151670382450454,0.336622953930071
1979-12-31,0.172811523793695,0.0823192814287892
1980-12-31,0.157851278149973,0.162787294518871
1981-12-31,0.0736455064237354,0.239360900736129
1982-12-31,0.006519673360615,-0.0438267567890673
1983-12-31,0.0889275714664188,0.1615727119671
1984-12-31,0.0273687000586285,0.033638229384237
1985-12-31,0.199696224821501,0.483576199688661
1986-12-31,0.207790319574854,0.557023194384138
1987-12-31,0.17456148895617,0.341587307804788
1988-12-31,0.0806341852732957,0.186506108578253
1989-12-31,0.0767166374571179,0.0580535350936583
1990-12-31,0.107429916540884,0.0395660587061014
1991-12-31,0.0722817959768414,0.00390348645029981
1992-12-31,0.0813505284635659,0.00268709707932262
1993-12-31,0.152078735051558,0.293611705084854
1994-12-31,0.0715009784711496,0.162518705524945
1995-12-31,0.07828916594142,-0.0346027515396867
1996-12-31,0.113101016957008,0.0392510697497557
1997-12-31,0.0989266526887156,-0.00253824052988499
1998-12-31,0.116533786185446,0.0929448645238112
1999-12-31,0.0260365099176221,0.0954107430364402
2000-12-31,0.252643290208336,0.185069450132912
2001-12-31,0.182756739448595,0.151477502258622
2002-12-31,0.171579919501286,0.233823561245989
2003-12-31,0.0561379970106612,0.223614257869244
2004-12-31,0.119877839934871,0.219421653308182
2005-12-31,0.114131187981893,0.0790693034764439
2006-12-31,0.059137193357876,0.150639849203562
2007-12-31,0.0701866740221233,0.103287805489661
2008-12-31,0.0741459461526601,0.0627999109813112
2009-12-31,0.0540239718930498,0.106620662219142
2010-12-31,0.0518424024108739,0.0625598592490886
2011-12-31,0.0478122463375661,-0.0450317974644092
